name,image_url,recipe_keys,recipe_wpp,recipe_cal,recipe_protein,recipe_carbs,recipe_fat,recipe_time,recipe_ratings,num_of_rating,recipe_share_count,recipe_summary
Creamy Pumpkin Polenta,https://www.skinnytaste.com/wp-content/uploads/2022/10/Pumpkin-Polenta-260x390.jpg,"['Gluten Free', 'Under 30 Minutes', 'Vegetarian Meals']",6,133,3,14,6,30 mins,5,5,2601,"There’s no cream in this Creamy Pumpkin Polenta. Instead, this polenta is made with pumpkin puree, Pecorino Romano, and a pinch of nutmeg."
Quick Black Beans Recipe,https://www.skinnytaste.com/wp-content/uploads/2022/10/Quick-Black-Beans-8-260x390.jpg,"['Gluten Free', 'Under 30 Minutes', 'Vegetarian Meals']",2,135,6,20,4,22 mins,5,11,1832,How to cook the easiest canned black beans in 20 minutes! This recipe transforms a can of black beans into a flavor-packed side dish or meatless meal.
Air Fryer Butternut Squash,https://www.skinnytaste.com/wp-content/uploads/2022/10/Air-Fryer-Butternut-Squash-3-260x390.jpg,"['Air Fryer Recipes', 'Dairy Free', 'Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",1,113,2,21.5,3.5,40 mins,5,11,9119,"An easy recipe for Air Fryer Butternut Squash with a hint of spices. This healthy side dish is quick, tender and delicious!"
Slow Cooker Ground Beef Ragu,https://www.skinnytaste.com/wp-content/uploads/2022/10/Slow-Cooker-Beef-Ragu-9-260x390.jpg,"['Freezer Meals', 'Gluten Free', 'Kid Friendly', 'Meal Prep Recipes', 'Slow Cooker Recipes']",4,176,16,15,7,4 hrs 15 mins,4.75,32,12660,"Beef Ragu in the slow cooker, made with lean ground beef, sausage, onions, carrots, and celery is perfect over pappardelle or your favorite pasta."
Pumpkin Banana Bread,https://www.skinnytaste.com/wp-content/uploads/2009/10/Pumpkin-Banana-Bread-7-260x390.jpg,['Vegetarian Meals'],4,146.5,2.7,33.3,2.7,1 hr 25 mins,4.92,34,5868,"If you love all things pumpkin and banana bread, you're going to love this moist and delicious Pumpkin Banana Bread made with pumpkin puree and pumpkin spices."
Lox and Eggs with Onions,https://www.skinnytaste.com/wp-content/uploads/2022/09/Lox-Eggs-and-Onions-2-1-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Keto Recipes', 'Low Carb', 'Under 30 Minutes']",3,279,21.5,9,17,20 mins,5,7,939,"Lox and Eggs with Onions, also called a LEO scramble takes “ordinary” scrambled eggs to “gourmet” in about 15 minutes!"
"Fall Brussels Sprout Salad with Apples, Pecans, and Blue Cheese",https://www.skinnytaste.com/wp-content/uploads/2022/10/Fall-Brussels-Sprouts-Salad-with-Apple-Pecans-and-Blue-Cheese-8-260x390.jpg,"['Gluten Free', 'Under 30 Minutes', 'Vegetarian Meals']",5,202,5,17,13.5,20 mins,5,9,5981,"This Fall Brussels Sprout Salad with apples, pecans, and blue cheese is a great side salad with roasted chicken, pork or Thanksgiving turkey. "
Turmeric Roasted Sweet Potato and Macadamia Soup,https://www.skinnytaste.com/wp-content/uploads/2017/01/Turmeric-Roasted-Sweet-Potato-and-Macadamia-Soup-1-3-260x390.jpg,"['Dairy Free', 'Freezer Meals', 'Gluten Free', 'Paleo', 'Vegetarian Meals', 'Whole30 Recipes']",5,199,2.5,30.5,8,1 hr 20 mins,4.90,19,3383,"This vegan, Turmeric Roasted Sweet Potato Soup is creamy and dairy-free with macadamia nuts, ginger, and a squeeze of lime juice."
Air Fryer Salmon Fish Sandwich,https://www.skinnytaste.com/wp-content/uploads/2022/10/Air-Fryer-Salmon-Sandwich-6-260x390.jpg,"['Air Fryer Recipes', 'Gluten Free', 'Kid Friendly', 'Under 30 Minutes']",9,493,33,31.5,24,15 mins,4.84,6,1803,"For a healthier fish sandwich loaded with omega-3s, try this Air Fryer Salmon Sandwich with lemon-caper mayo!"
Potato Leek Soup,https://www.skinnytaste.com/wp-content/uploads/2018/10/POTATO-LEEK-SOUP2.-5-2-260x390.jpg,"['Freezer Meals', 'Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",3,133,4.5,23.5,2.5,30 mins,4.88,116,34808,"Cozy and comforting, Potato Leek Soup combines potatoes, leeks and broth for a simple homemade soup the whole family will love!"
Whole Wheat Pumpkin Pancakes with Pecans,https://www.skinnytaste.com/wp-content/uploads/2013/10/Whole-Wheat-Pumpkin-Pecan-Pancakes-5-260x390.jpg,"['Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",7,234,10,31,8,20 mins,4.72,14,3515,"Whole wheat buttermilk pancakes made with pumpkin puree, pure maple syrup, pumpkin pie spice and pecans – a perfect lazy autumn Sunday morning breakfast."
Chicken Taco Poblano Rice Bowls,https://www.skinnytaste.com/wp-content/uploads/2020/09/Chicken-Taco-Poblano-Rice-Bowls-6-260x390.jpg,"['Gluten Free', 'Kid Friendly', 'Meal Prep Recipes', 'Under 30 Minutes']",8,475,40.5,52,12,25 mins,4.96,43,53193,These quick and easy Chicken Taco Poblano Rice Bowls are perfect for dinner or to make ahead for meal prep! 
Peanut Butter Banana Muffins,https://www.skinnytaste.com/wp-content/uploads/2014/02/Low-Fat-Peanut-Butter-Banana-Muffins-7-260x390.jpg,"['Freezer Meals', 'Vegetarian Meals']",6,192,5.5,24.5,9,40 mins,4.87,37,9813,Peanut Butter Banana Muffins are proof that banana bread and peanut butter go together really well! Stuffed with extra peanut butter in the center!
Apple and Grape Fall Fruit Salad,https://www.skinnytaste.com/wp-content/uploads/2011/09/Autumn-Apple-and-Grape-Medley-4-260x390.jpg,"['Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",6,209,6,36,8.5,15 mins,5,10,3327,"Sweet, crunchy apples and grapes in a creamy yogurt and cream cheese sauce topped with crushed walnuts and brown sugar are the perfect fall treat or dessert."
"Sheet Pan Baked Feta with Broccolini, Tomatoes and Chickpeas",https://www.skinnytaste.com/wp-content/uploads/2022/09/Sheet-Pan-Baked-Feta-with-Chickpeas-Broccolini-and-Tomatoes-9-260x390.jpg,"['Gluten Free', 'Keto Recipes', 'Low Carb', 'Vegetarian Meals']",9,372,17.5,33,21.5,45 mins,4.95,18,2693,"Sheet Pan Baked Feta with Broccolini, Tomatoes and Chickpeas"
Maple Roasted Butternut Squash,https://www.skinnytaste.com/wp-content/uploads/2020/10/Maple-Roasted-Butternut-Squash-7-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Kid Friendly', 'Paleo', 'Vegetarian Meals']",3,104,1,23,2,45 mins,4.72,7,2931,"Maple Roasted Butternut Squash, a simple fall side dish with 3 ingredients; butternut squash, pure maple syrup, and oil, plus salt and pepper!"
Cream Cheese Pumpkin Muffins,https://www.skinnytaste.com/wp-content/uploads/2019/10/Pumpkin-Cream-Cheese-Muffins-5-260x390.jpg,"['Freezer Meals', 'Kid Friendly', 'Vegetarian Meals']",8,170,3.5,25,6,40 mins,4.84,99,54402,"Cream Cheese Pumpkin Muffin are moist, delicious and perfectly spiced! A delicious fall breakfast treat made with canned pumpkin, pumpkin spice and a cream cheese swirl topping."
Creamy Sausage and Potato Soup,https://www.skinnytaste.com/wp-content/uploads/2022/09/Creamy-Potato-and-Sausage-Soup-5-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Kid Friendly']",7,402,25,60,7.5,55 mins,4.91,42,12306,"This easy, comforting sausage and potato soup is hearty and dairy-free, made creamy by pureeing cannellini beans."
Parmesan-Herb Baked Salmon,https://www.skinnytaste.com/wp-content/uploads/2022/09/Parmesan-Herb-Baked-Salmon-6-2-260x390.jpg,"['Gluten Free', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes']",2,256,31,2,13,25 mins,4.95,35,10605,This easy Parmesan Herb Baked Salmon recipe is flaky and tender with incredible flavor – perfect for company or busy weeknights.
Avocado Toast with Halloumi and Egg,https://www.skinnytaste.com/wp-content/uploads/2022/09/Avocado-Toast-4-260x390.jpg,"['Under 30 Minutes', 'Vegetarian Meals']",7,295,16,19,17,20 mins,5,1,1008,"Avocado Toast with Halloumi and Soft Boiled Egg is a fresh spin on avocado toast made with roasted peppers, 7-minute soft-boiled eggs, and sunflower seeds. "
Chicken Enchilada Stuffed Zucchini Boats,https://www.skinnytaste.com/wp-content/uploads/2012/08/Chicken-Enchilada-Stuffed-Zucchini-Boats-7-260x390.jpg,"['Gluten Free', 'Keto Recipes', 'Kid Friendly', 'Low Carb']",3,232,24,22,7,1 hr,4.93,26,17779,"Chicken Enchilada Stuffed Zucchini Boats filled with shredded chicken, enchilada sauce, cheese, and scallions is a tasty twist on a Mexican favorite. "
